// VilsSharpX CAN/UART trace – 2026-09-22 09:16:58
// Records: 7301
// Seq;Timestamp;Device;Op;Address;Value;Status;RspDelayUs;IfDelayUs;RawHex
0;2026-09-22 06:16:03.270;OSRAM;W;0x0001;0x00000001;Ok;0;65535;80A520010001E5CB
1;2026-09-22 06:16:03.279;OSRAM;W;0x0001;0x00000001;Ok;0;12711;80A520010001E5CB
2;2026-09-22 06:16:03.289;OSRAM;W;0x0001;0x00000001;Ok;0;7546;80A520010001E5CB
3;2026-09-22 06:16:03.292;OSRAM;W;0x0001;0x00000001;Ok;0;8842;80A520010001E5CB
4;2026-09-22 06:16:03.300;OSRAM;W;0x0001;0x00000001;Ok;0;9945;80A520010001E5CB
5;2026-09-22 06:16:03.319;OSRAM;W;0x0001;0x00000001;Ok;0;10082;80A520010001E5CB
6;2026-09-22 06:16:03.320;OSRAM;W;0x0001;0x00000001;Ok;0;10000;80A520010001E5CB
7;2026-09-22 06:16:03.999;OSRAM;W;0x0000;0x000060F5;Ok;0;65535;80A5200060F5764A
8;2026-09-22 06:16:03.999;OSRAM;W;0x00FC;0x0000CCFA;Ok;0;1137;80A520FCCCFA4985
9;2026-09-22 06:16:03.999;OSRAM;W;0x00FB;0x000000A2;Ok;0;1137;80A520FB00A244D1
10;2026-09-22 06:16:03.999;OSRAM;R;0x0000;0x000060F5;Ok;6;1136;80A5BE0060F5FFFF0002000003E8FFFF3110302000000000000000A50000FFFF0000003FC3C7
11;2026-09-22 06:16:03.999;OSRAM;R;0x00FB;0x000080A3;Ok;6;1144;80A5A0FB80A39250
12;2026-09-22 06:16:04.000;OSRAM;W;0x0006;0x00003110;Ok;0;5045;80A52006311054EF
13;2026-09-22 06:16:04.009;OSRAM;R;0x0000;0x000060F5;Ok;6;1138;80A5BE0060F5FFFF0002000003E8FFFF3100302000000000000000A50000FFFF0000003FF39A
14;2026-09-22 06:16:04.015;OSRAM;W;0x0006;0x00003100;Ok;0;8535;80A52006310046DE
15;2026-09-22 06:16:04.015;OSRAM;W;0x0001;0x00000006;Ok;0;304;80A520010006952C
16;2026-09-22 06:16:04.015;OSRAM;R;0x0000;0x000060F5;Ok;6;307;80A5BE0060F5FFFF0006000003E8FFFF3100302100000000000000A50000FFFF0000003FB6E0
17;2026-09-22 06:16:04.015;OSRAM;R;0x002A;0x00004EC6;Ok;7;312;80A5A22A4EC65DB3BCB1
18;2026-09-22 06:16:04.015;OSRAM;R;0x0043;0x00008A7F;Ok;7;313;80A5A0438A7F2034
19;2026-09-22 06:16:04.015;OSRAM;R;0x0047;0x00001E7E;Ok;5;313;80A5A0471E7E38FA
20;2026-09-22 06:16:04.020;OSRAM;W;0x0006;0x00003100;Ok;0;7972;80A52006310046DE
21;2026-09-22 06:16:04.029;OSRAM;W;0x0008;0x00000004;Ok;0;304;80A5220800046406E884
22;2026-09-22 06:16:04.029;OSRAM;W;0x0007;0x00000100;Ok;0;305;80A520070100747B
23;2026-09-22 06:16:04.029;OSRAM;R;0x0100;0x00008F00;Ok;6;304;80A5A5008F00FB97FFDD3D51
24;2026-09-22 06:16:04.029;OSRAM;W;0x0008;0x00000005;Ok;0;312;80A522080005000258DE
25;2026-09-22 06:16:04.029;OSRAM;W;0x0007;0x00000100;Ok;0;304;80A520070100747B
26;2026-09-22 06:16:04.029;OSRAM;R;0x0100;0x00002110;Ok;5;305;80A5A10021104EB0
27;2026-09-22 06:16:04.029;OSRAM;W;0x0008;0x00000006;Ok;0;311;80A522080006000021CC
28;2026-09-22 06:16:04.029;OSRAM;W;0x0007;0x00000100;Ok;0;304;80A520070100747B
