"No.","Time","Delta displayed","Source","Destination","Protocol","Length","Info"
"91639","3.609688800","","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"91640","3.609688800","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"91642","3.610394400","0.000705600","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"91643","3.610394400","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"91704","3.611228600","0.000834200","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"91742","3.611852100","0.000623500","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"91815","3.612635200","0.000783100","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"91854","3.614529500","0.001894300","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"91914","3.614765000","0.000235500","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"91943","3.614842200","0.000077200","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92028","3.615190900","0.000348700","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92076","3.615730600","0.000539700","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92123","3.616377700","0.000647100","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92157","3.616721000","0.000343300","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92158","3.616721000","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92159","3.616721000","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92160","3.617158900","0.000437900","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92161","3.617370000","0.000211100","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92162","3.618120500","0.000750500","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92163","3.618120500","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92164","3.619507700","0.001387200","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92165","3.619507700","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92166","3.620019700","0.000512000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92167","3.620019700","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92168","3.622708900","0.002689200","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92169","3.622708900","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92171","3.622708900","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92172","3.622708900","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92174","3.625405200","0.002696300","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92175","3.625405200","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92176","3.625405200","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92177","3.625405200","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92178","3.625405200","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92179","3.625405200","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92181","3.629415500","0.004010300","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92182","3.629415500","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92183","3.629415500","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92184","3.629415500","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92186","3.629415500","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"92187","3.629415500","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
